News Site,Article Title,Article Text
foxnews,How to prevent motion sickness,
foxnews,Nevada Congresswoman urges Trump to oppose call for online gambling ban,"Nevada Representative Dina Titus is urging the President Elect to oppose a call for an online gambling ban.
The Democratic Congresswoman sent a letter to Vice President-elect Mike Pence, head of Trumpâ€™s transition team, this week. Her letter was in response to a letter signed last month by ten attorneys general who opposed online gaming.
The ten Republican attorneys general sent their letter Nov. 17 to Pence asking him to consider the Restoration of Americaâ€™s Wire Act (RAWA). Nevadaâ€™s Attorney General, Adam Laxalt, was a cosigner of the letter.
The Restoration of Americaâ€™s Wire Act is legislation that would effectively ban all online gambling nationwide with the exception of daily fantasy sports websites and horse race betting.
In her letter, Titus contends that â€œthe letter submitted by the attorneys general contains several inaccuracies and unfair allegations.â€ù Titus touted regulations in place in Nevada, which she says prove online gambling can be effectively regulated. â€œGaming regulation in the state of Nevada is considered the international gold standard,â€ù she added.
CYBERGAMBLING RETURNS â€“ AND THIS TIME ITâ€™S LEGAL
The Restoration of Americaâ€™s Wire Act would rewrite and reinterpret the federal Wire Act of 1961, which is also known as the Interstate Wire Act.
The AG letter cited addiction, divorce and increased suicide as harmful effects of online gambling. The AGs also raised concerns about anonymity, which they said could be used to support terrorist financing and criminal activity.
However, in her letter, Titus warned of the ramifications that could arise from banning online gambling from states that are doing it correctly. She said, â€œI encourage you [Trump] to carefully study this issue before making any decisions that would infringe on stateâ€™s rights or eliminate jobs in the gaming industry.â€ù
State-regulated online gambling is legal in Nevada, Delaware, and New Jersey.
The Restoration of Americaâ€™s Wire Act was introduced in the 2015 session of Congress and is still sitting in the Senate Judiciary Committee, according to Congress.gov. The legislation was written with the backing of Las Vegas hotel and casino billionaire, Sheldon Adelson, an opponent of online gambling."
foxnews,Harvard's Mankiw: Trump Should Stop Micromanaging Corporate America,"President-elect Donald Trump continues to promote his economic growth agenda, standing by his campaign promises of slashing the corporate tax rate and decreasing regulations. Last week, Trump announced that he had struck a deal with Indiana-based Carrier Corp., saving 1,000 jobs from being exported to Mexico.
Continue Reading Below
Trump may have mastered the art of the deal when it came to saving jobs at Carrier, but how will his business-like approach affect the U.S. economic system?
In an interview on the FOX Business Networkâ€™s Countdown to the Closing Bell, Harvard Economics Professor Greg Mankiw said the President-elect shouldnâ€™t be meddling in the affairs of corporate America, and his decision to do so may not be beneficial for the economy in the long run.
â€œThereâ€™s a big difference between being a CEO of a company and being President of the United States. A CEO is basically a central planner for that company. The President of the United States is not the central planner for the U.S. economy,â€ù Mankiw said.
The former chairman of the Council of Economic Advisors under Bush 43 said it is highly unlikely that a president alone would be able to make the best decisions on behalf of the businesses and workers that keep the economy going.
â€œWe fundamentally believe in a market economy, that is decentralized decision making, not decision making centralized in one person, the President of the United States,â€ù he said.
Continue Reading Below ADVERTISEMENT
Although Trumpâ€™s ambitious efforts to save every job in the U.S. will benefit a subset of workers, Mankiw said allowing the free market to make these decisions is the best way of promoting economic growth.
â€œI think a lot of his [Trump] economic advisors people like Larry Kudlow and Steve Moore are believers in that principle and my guess is behind the scenes, they are not so enthusiastic about the some of this micromanaging,â€ù Mankiw said."
foxnews,Bart Chilton: Trump is now dealmaker-in-chief,
foxnews,"Tom On Trumpâ€™s Boeing Threat: â€œEven If Itâ€™s Populist Propaganda, I love It!â€ù","Donald Trump is back on Twitter! This time to announce he wants to cancel Boeingâ€™s Air Force Once contract! He claims theyâ€™re charging too much!
Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order! â€” Donald J. Trump (@realDonaldTrump) December 6, 2016
The President-electâ€™s critics are already grumbling and questioning some of his math â€_
Boeing tells me AFOne contract does not have a price tag yet. They don't know where $4b figure comes from. I wonder where DT got his info. â€” Ari Fleischer (@AriFleischer) December 6, 2016
But Trumpâ€™s tweet sure is sending a message â€_ and Tom loves it!
On Tuesdayâ€™s show, Tom explained why he thinks Trumpâ€™s tweet sends a powerful message to government contractors, bureaucrats and politicians who have looked the other way when it comes to waste and fraud."
foxnews,Power Play: Silver State looking red?,
foxnews,Tomi Lahren Enters the 'No Spin Zone',"This material may not be published, broadcast, rewritten, or redistributed. Â©2016 FOX News Network, LLC. All rights reserved. All market data delayed 20 minutes.
New Privacy - Ad Choices - New Terms of Use (What's New) - FAQ"
foxnews,"Juan Williams: Hey Bernie Sanders and Elizabeth Warren, the Democratic Party is now yours for the taking","Editor's note: The following column originally appeared in The Hill newspaper and on TheHill.com.
What happens to Democrats in the Trump era?
In the 1992 presidential election, after three straight terms of Republicans in the White House, Bill Clinton successfully remade the Democrats into a party of political centrists to regain the support of so-called â€˜Reagan Democrats.â€™
When Hillary Clinton lost the 2008 nomination to the future President Obama, he challenged her centrist politics from the left. He attacked her Senate vote in support of the war in Iraq and war-weary Democrats rallied to him.
With Obama leaving office, the Democrats are losing his anti-war focus and the personal popularity that allowed him to hold the Democrats together. The president enjoys a sky-high job approval rating among his fellow Democrats.
So, who replaces him as the working leader of Democrats in Washington? And what is the Democratsâ€™ new guiding ideology?
The leading candidate to lead the party out of the darkness is Sen. Charles Schumer (D-N.Y.). He is widely expected to be the next Senate Minority Leader. But his strong ties to Wall Street are guaranteed to give the most liberal members of his party heartburn.
House Democratic Leader Nancy Pelosi (Calif.), with 30 years in Congress, is expected to remain the top Democrat in the House. But the first woman to serve as Speaker of the House lost the majority in 2010 and failed to recapture it in any of the three elections since then.
Over at the Democratic National Committee (DNC), there is also a leadership vacuum.
Former chairwoman Rep. Debbie Wasserman-Schultz (Fla.) was forced out after WikiLeaks published embarrassing emails showing DNC staffers trying to help Clinton defeat Sen. Bernie Sanders (I-Vt.) in the Democratic primaries.
Donna Brazile, the current DNC chairwoman, is under fire for emails, again released through WikiLeaks, that claim to show she shared presidential debate questions with the Clinton campaign while a paid contributor at CNN.
At the moment, Democrats are a people distressed at the reality that millions of Americans voted for Trump â€” and did so with full knowledge of his long list of insults, bullying, racist comments and failure to pay taxes. Exit polls showed voters selecting him despite their overwhelming conclusion that he lacks the judgment and experience to be president.
I sincerely hope the president-elect lives up to his promise to â€œbind the wounds of division.â€ù Patriotism dictates that Democrats rally behind him and pray for his success as our nationâ€™s leader. I am trying. It is also good to remember there are lots of Democrats out there. Clinton won the popular vote even as she lost the Electoral College.
If Trump really does try to improve the employment situation for working class people, Democrats should be ready to support him, a recent piece by D.D. Guttenplan in The Nation argued â€” even while they develop the power to pressure him on immigration and climate change.
Democrats need a revived party with a strong leader, as well as a clear message that allows them to stand as the loyal opposition to Trump Republicans.
One way to find the leader is to consider the best Democrat to run against Trump in 2020. International Business Times last week listed six names for the job: Sen. Sherrod Brown (Ohio); Housing and Urban Development Secretary Julian Castro; New York Gov. Andrew Cuomo; Clintonâ€™s running mate Sen. Tim Kaine (Va.), Sen. Elizabeth Warren (Mass.) and Sen. Cory Booker (N.J.).
â€œI want an uncompromising fighter who understands the values of our base, of our party, and of our nation,â€ù Markos Moulitsas wrote at the Daily Kos last week in a blog post on who should be the next DNC Chair. â€œI want a champion who will rebuild the party in all 50 states. I want a hero that will support a whole new generation of new party leaders, candidates, activists and voters. And I want anger. But that may just be the day-after me speaking.â€ù
In a Facebook post last Wednesday, liberal filmmaker Michael Moore urged activists to â€œtake over the Democratic Party and return it to the people,â€ù because â€œthey have failed us miserably.â€ù
â€œAny Democratic member of Congress who didnâ€™t wake up this morning ready to fight, resist and obstruct in the way Republicans did against President Obama every day for eight full years must step out of the way and let those of us who know the score lead the way in stopping the meanness and the madness thatâ€™s about to begin,â€ù Moore wrote.
The progressive populist wing of the Democratic Party, as currently led by Sanders and Warren, has a real opportunity in the coming months to execute a hostile takeover of the Democratic Party, just as Trump took over the Republicans last year.
The internal power struggles within the Democratic Party provide clues to how the partyâ€™s congressional leaders will deal with pressing issues like pending trade deals, where progressives like Sanders and Warren may find common cause with Trump in opposition to the Trans-Pacific Partnership. Then there is the Supreme Court, where an all-out fight will be required after Senate Republicans never even had a hearing to consider Obamaâ€™s nominee, Merrick Garland.
Other Trump GOP agenda items like the repeal of ObamaCare and sweeping tax cuts will require progressives to go to the barricades. They will need new ideas and strong leadership and it is not at all clear that their current roster is up to the challenge.
Bernie and Elizabeth, the party is yours for the taking. The opening is there for you to channel all of the pain and anger among Democrats. Will you seize it?
Juan Williams is a co-host of FNC's ""The Five,"" where he is one of seven rotating Fox personalities.
"
foxnews,"City council declares Santa Ana, CA, sanctuary city, but questions remain","A group in full support of making Santa Ana a sanctuary city rallied outside the city council on Tuesday.
With a unanimous vote, the council passed a resolution declaring the city safe for people despite their immigration status.
Itâ€™s the first resolution of itâ€™s kind in Orange County, but activists want more.
â€œWe donâ€™t just want symbolic language we want policy we want an ordinance we want action,â€ù Roberto Herrera said.
Under the resolution, the city wonâ€™t use any money or resources to enforce federal immigration law. It also directs police not to target anyone based on documentation, but it doesnâ€™t develop any new enforceable policies.
Activists also see a problem with the city allowing ICE to operate in the jail.
â€œThatâ€™s basically contradictory you are saying we have sanctuary city, but then you have a contract with ICE in your jail thatâ€™s not a sanctuary city,â€ù advocate Victor Valladares said.
The city has agreed to reduce the space allocated to ICE, but the contract isnâ€™t up until 2020.
Council members will also consider making the sanctuary city resolution a law.
For more Southern California stories visit fox11news.com.
Like us on Facebook
Follow us on Twitter & Instagram"
foxnews,'Fox News Sunday' Brings You an Exclusive Interview with Donald Trump,
